カテゴリー,商品番号,商品名,在庫総数,店舗内在庫,倉庫内在庫,納品待ち,発注閾値,insert_master,insert_total_db
supplements,001-009920,aaa,100,50,50,0,70,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('001-009920','supplements','aaa', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('001-009920', 'supplements', 'aaa', 100, 50, 50, 0, 70, sysdate())"
supplements,001-009921,bbb,100,50,50,0,70,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('001-009921','supplements','bbb', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('001-009921', 'supplements', 'bbb', 100, 50, 50, 0, 70, sysdate())"
clothes,002-009922,ccc,100,50,50,0,70,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('002-009922','clothes','ccc', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('002-009922', 'clothes', 'ccc', 100, 50, 50, 0, 70, sysdate())"
supplements,001-009923,ddd,100,50,50,0,70,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('001-009923','supplements','ddd', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('001-009923', 'supplements', 'ddd', 100, 50, 50, 0, 70, sysdate())"
supplements,001-009924,eee,100,50,50,0,70,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('001-009924','supplements','eee', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('001-009924', 'supplements', 'eee', 100, 50, 50, 0, 70, sysdate())"
books,004-009925,fff,100,50,50,0,70,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('004-009925','books','fff', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('004-009925', 'books', 'fff', 100, 50, 50, 0, 70, sysdate())"
clothes,002-009926,ggg,100,50,50,0,70,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('002-009926','clothes','ggg', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('002-009926', 'clothes', 'ggg', 100, 50, 50, 0, 70, sysdate())"
supplements,001-009927,hhh,100,50,50,0,70,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('001-009927','supplements','hhh', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('001-009927', 'supplements', 'hhh', 100, 50, 50, 0, 70, sysdate())"
books,004-009928,iii,100,50,50,0,70,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('004-009928','books','iii', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('004-009928', 'books', 'iii', 100, 50, 50, 0, 70, sysdate())"
supplements,001-009929,jjj,100,50,50,0,70,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('001-009929','supplements','jjj', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('001-009929', 'supplements', 'jjj', 100, 50, 50, 0, 70, sysdate())"
clothes,002-009930,kkk,100,50,50,0,70,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('002-009930','clothes','kkk', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('002-009930', 'clothes', 'kkk', 100, 50, 50, 0, 70, sysdate())"
clothes,002-009931,lll,100,50,50,0,70,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('002-009931','clothes','lll', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('002-009931', 'clothes', 'lll', 100, 50, 50, 0, 70, sysdate())"
books,004-009932,mmm,100,50,50,0,70,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('004-009932','books','mmm', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('004-009932', 'books', 'mmm', 100, 50, 50, 0, 70, sysdate())"
supplements,001-009933,nnn,100,50,50,0,70,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('001-009933','supplements','nnn', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('001-009933', 'supplements', 'nnn', 100, 50, 50, 0, 70, sysdate())"
supplements,001-009934,ooo,100,50,50,0,70,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('001-009934','supplements','ooo', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('001-009934', 'supplements', 'ooo', 100, 50, 50, 0, 70, sysdate())"
books,004-009935,ppp,100,50,50,0,70,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('004-009935','books','ppp', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('004-009935', 'books', 'ppp', 100, 50, 50, 0, 70, sysdate())"